,수위,총유입량,총방류량
93,5.67,2536.593,2475.676
94,5.69,2561.456,2500.539
95,5.7,2544.593,2514.149
96,5.71,2561.377,2530.933
97,5.78,2768.526,2555.332
98,5.85,2860.222,2647.028
99,5.98,3185.079,2789.162
100,6.08,3412.981,2950.981
101,6.18,3612.717,3111.356
102,6.26,3661.671,3260.588
103,6.33,3734.573,3383.601
104,6.38,3722.648,3471.981
105,6.41,3672.376,3521.959
106,6.43,3647.007,3546.729
107,6.43,3562.654,3562.654
108,6.43,3562.016,3562.016
109,6.41,3449.569,3549.847
110,6.36,3247.929,3498.623
111,6.3,3110.452,3411.258
112,6.22,2902.378,3303.461
113,6.11,2583.745,3135.245
114,6.0,2405.205,2956.705
115,5.92,2573.244,2816.883
116,5.88,2602.078,2723.911
117,5.88,2703.947,2703.947
118,5.81,2429.584,2642.778
119,5.76,2417.604,2569.882
120,5.66,2163.194,2467.75
121,5.58,2101.944,2345.583
122,5.53,2100.251,2252.529
123,5.48,2031.834,2189.167
124,5.44,2000.663,2132.58
125,5.4,1956.32,2088.264
126,5.37,1954.888,2053.832
127,5.34,1921.055,2019.999
128,5.23,1260.753,1623.586
129,5.15,1037.049,1300.91
130,5.07,1029.898,1293.759
131,5.16,1586.504,1289.671
132,5.27,1766.304,1403.471
133,5.35,1758.411,1494.55
134,5.41,1756.999,1559.11
135,5.44,1698.316,1599.344
136,5.47,1727.374,1628.43
137,5.48,1680.097,1647.125
138,5.36,1206.623,1602.429
139,5.21,965.489,1460.239
140,5.1,972.175,1334.981
141,5.15,1455.403,1290.486
142,5.26,1751.605,1388.799
143,5.34,1733.823,1469.934
144,5.39,1693.326,1528.409
145,5.43,1701.384,1569.467
146,5.45,1663.523,1597.551
147,5.47,1682.764,1616.792
148,5.48,1662.105,1629.133
149,5.48,1638.148,1638.148
150,5.48,1639.428,1639.428
151,5.48,1641.085,1641.085
152,5.46,1574.287,1640.259
153,5.29,978.661,1539.355
154,5.2,704.565,1001.426
155,5.19,590.627,623.599
156,5.14,443.045,607.962
157,5.13,547.377,580.377
158,5.13,578.276,578.276
159,5.18,752.994,588.077
160,5.23,784.679,619.762
161,5.36,1231.922,803.144
162,5.4,1325.866,1193.922
163,5.46,1439.242,1241.353
164,5.5,1415.257,1283.313
165,5.53,1423.1,1331.739
166,5.52,1311.499,1341.943
167,5.51,1296.434,1326.906
168,5.49,1246.255,1309.672
169,5.47,1228.298,1294.27
170,5.46,1245.806,1278.806
171,5.44,1201.142,1267.086
172,5.43,1221.732,1254.732
173,5.42,1211.628,1244.6
174,5.36,1029.367,1227.284
175,5.27,854.341,1151.174
176,5.18,786.843,1083.704
177,5.1,570.984,834.845
178,5.09,496.533,529.505
179,5.07,450.826,516.798
180,5.04,400.514,499.458
181,5.03,323.179,356.179
182,5.03,222.982,222.982
183,5.03,223.274,223.274
184,5.02,177.196,210.168
185,5.03,246.091,213.119
186,5.06,330.575,231.631
187,5.07,274.661,241.661
188,5.08,283.853,250.881
189,5.1,325.287,259.315
190,5.1,265.825,265.825
191,5.1,530.47,530.47
192,5.1,638.864,638.864
193,5.16,872.452,674.563
194,5.22,918.412,720.495
195,5.26,890.129,758.212
196,5.29,881.137,782.165
197,5.31,869.357,803.413
198,5.33,887.036,821.064
199,5.34,868.645,835.645
200,5.35,878.975,846.003
201,5.25,480.31,810.143
202,5.19,549.633,747.522
203,5.16,533.351,632.323
204,5.17,310.918,277.918
205,5.17,283.502,283.502
206,5.17,284.737,284.737
207,5.22,466.594,301.677
208,5.24,395.662,329.69
209,5.25,371.366,338.394
210,5.27,412.067,346.095
211,5.29,428.277,362.305
212,5.3,555.135,522.163
213,5.27,650.035,748.979
214,5.28,788.104,755.132
215,5.25,639.633,738.577
216,5.29,874.468,742.524
217,5.3,802.707,769.735
218,5.3,772.037,772.037
219,5.3,772.58,772.58
220,5.3,772.537,772.537
221,5.32,845.165,779.193
222,5.34,857.133,791.161
223,5.35,837.841,804.869
224,5.38,921.016,822.072
225,5.31,582.629,813.518
226,5.26,595.151,760.068
227,5.25,739.649,772.621
228,5.24,919.208,952.18
229,5.39,1494.051,999.301
230,5.66,2031.13,1181.047
231,5.77,1993.396,1658.368
232,5.88,2321.688,1986.688
233,5.94,2284.05,2101.3
234,5.96,2213.685,2152.796
235,5.95,2125.458,2155.902
236,5.86,1811.542,2085.653
237,5.8,1805.9,1988.622
238,5.74,1727.864,1910.586
239,5.74,1697.662,1697.662
240,5.73,1454.516,1484.988
241,5.7,1360.298,1451.659
242,5.67,1321.151,1412.512
243,5.66,1359.759,1390.231
244,5.66,1386.796,1386.796
245,5.66,1388.597,1388.597
246,5.71,1555.692,1403.414
247,5.76,1641.19,1488.912
248,5.8,1663.458,1541.625
249,5.81,1690.07,1659.626
250,5.81,1782.579,1782.579
251,5.81,1781.237,1781.237
252,5.74,1558.091,1771.258
253,5.54,907.757,1516.868
254,5.44,1055.973,1375.695
255,5.37,1058.932,1289.821
256,5.29,968.506,1232.367
257,5.21,895.185,1159.074
258,5.16,937.309,1102.226
259,5.12,932.334,1064.251
260,5.09,936.374,1035.318
261,5.06,992.715,1091.687
262,5.07,1298.575,1265.575
263,5.16,1621.804,1324.971
264,5.24,1662.641,1398.752
265,5.34,1819.934,1490.101
266,5.42,1838.223,1574.362
267,5.46,1759.909,1627.992
268,5.46,1650.532,1650.532
269,5.44,1567.457,1633.401
270,5.42,1483.83,1549.802
271,5.41,1499.45,1532.45
272,5.35,1306.691,1504.58
